file,begin,end,speaker,loglikelihood
024832-2290567,0.0,3.2508125,024832,-5.54244
024832-2472687,0.0,2.414875,024832,-6.178269709543568
024832-2473524,0.0,1.9505,024832,-4.8140892307692305
024832-2536049,0.0,5.4335,024832,-5.5554622467771635
024832-2290674,0.0,2.13625,024832,-4.696591549295775
024832-2290834,0.0,2.229125,024832,-5.823734234234234
027280-3099902,0.0,3.072,027280,-5.384983713355049
027280-3106141,0.0,1.664,027280,-5.673194578313253
027280-3100551,0.0,3.7546875,027280,-5.176488
027280-3096082,0.0,2.7733125,027280,-5.754454873646209
027280-3105029,0.0,1.792,027280,-5.645256983240223
027280-3103207,0.0,2.2186875,027280,-4.972457013574661
027280-3096301,0.0,2.9866875,027280,-5.745479865771812
027280-3097272,0.0,3.6693125,027280,-5.071969945355191
027280-3098853,0.0,3.072,027280,-5.491442996742671
027280-3102019,0.0,2.56,027280,-5.27080078125
027280-3102294,0.0,2.56,027280,-4.78162109375
027280-3104969,0.0,2.176,027280,-5.52773732718894
027280-3104763,0.0,1.7493125,027280,-5.0858505747126435
027280-3096410,0.0,2.7733125,027280,-5.141812274368231
027280-3099152,0.0,2.1333125,027280,-5.324572769953051
024832-2472600,0.0,4.551125,024832,-5.509112087912088
027280-3105215,0.0,4.992,027280,-5.389372745490982
024832-2470996,0.0,2.8793125,024832,-4.696797909407666
027280-3096481,0.0,3.4986875,027280,-5.731739255014326
027280-3099287,0.0,2.0906875,027280,-4.862052631578948
024832-2789612,0.0,2.9721875,024832,-6.193134680134681
024832-2290388,0.0,2.3684375,024832,-5.300368644067796
027280-3104887,0.0,2.688,027280,-5.725149253731343
024832-2212867,0.0,8.7306875,024832,-4.963651775486827
027280-3103794,0.0,2.8586875,027280,-5.918143859649123
024832-2789275,0.0,3.1579375,024832,-7.033434920634921
027280-3101690,0.0,2.176,027280,-5.352400921658986
024832-2212994,0.0,6.5945,024832,-5.747166919575114
027280-3102582,0.0,3.84,027280,-5.5764921875
024832-2290474,0.0,2.7399375,024832,-5.712652014652015
027280-3096904,0.0,2.6026875,027280,-5.0475115384615385
024832-2789698,0.0,1.161,024832,-5.791306034482759
027280-3096504,0.0,1.8773125,027280,-5.657144385026738
024832-2789683,0.0,3.390125,024832,-5.933755162241887
027280-3103659,0.0,2.432,027280,-4.984246913580247
024832-2471193,0.0,3.1579375,024832,-5.376311111111111
027280-3099542,0.0,3.328,027280,-5.532379518072289
024832-2538355,0.0,2.2755625,024832,-5.543070484581498
